Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Alexandria Bay,New York,0708,US-Canada Border,Jan-24,Rail Containers Loaded,0,44.347,-75.984,POINT (-75.983592 44.347229)
Vanceboro,Maine,0105,US-Canada Border,Jan-24,Truck Containers Empty,241,45.569,-67.429,POINT (-67.428541 45.568761)
Bridgewater,Maine,0127,US-Canada Border,Jan-24,Trains,0,46.45,-67.785,POINT (-67.78484 46.450335)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Personal Vehicles,13943,48.998,-111.96,POINT (-111.959611 48.998388)
Skagway,Alaska,3103,US-Canada Border,Jan-24,Trucks,1072,59.63,-135.164,POINT (-135.164444 59.629722)
Oroville,Washington,3019,US-Canada Border,Jan-24,Train Passengers,0,49,-119.462,POINT (-119.461833 49.000083)
San Ysidro,California,2504,US-Mexico Border,Jan-24,Rail Containers Empty,0,32.543,-117.029,POINT (-117.028761 32.542528)
Massena,New York,0704,US-Canada Border,Jan-24,Buses,287,44.991,-74.74,POINT (-74.739722 44.990556)
St John,North Dakota,3405,US-Canada Border,Jan-24,Trucks,60,48.999,-99.659,POINT (-99.659111 48.999277)
Scobey,Montana,3309,US-Canada Border,Jan-24,Trains,0,49,-105.408,POINT (-105.407638 48.999527)
Maida,North Dakota,3416,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-98.365,POINT (-98.36525 49.00025)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Personal Vehicle Passengers,67782,48.998,-111.96,POINT (-111.959611 48.998388)
Noyes,Minnesota,3402,US-Canada Border,Jan-24,Truck Containers Empty,49,49,-97.207,POINT (-97.206601 49.000171)
Calexico,California,2503,US-Mexico Border,Jan-24,Truck Containers Empty,8124,32.673,-115.388,POINT (-115.388018 32.673389)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Truck Containers Empty,1575,28.705,-100.512,POINT (-100.511977 28.705483)
